document_id,party_id,role,name_row_id
idn-project-legok-agreement-ut-2024,united-tractors,author,united-tractors.name.1
idn-news-legok-groundbreaking-antara-2026,antara-news,author,antara-news.name.1
idn-project-rsud-retrofit-c40,c40-cities-finance-facility,author,c40-cities-finance-facility.name.1
idn-portfolio-project-index-2026,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-eib-ptsmi-mou-2024,european-investment-bank,author,european-investment-bank.name.1
idn-jetp-work-plan-2024-presentation,jetp-indonesia-secretariat,author,jetp-indonesia-secretariat.name.1
idn-ibvogt-diesel-west-2023,ib-vogt,author,ib-vogt.name.1
idn-geapp-diesel-replacement-program,global-energy-alliance-for-people-and-planet,author,global-energy-alliance-for-people-and-planet.name.1
idn-ieefa-dediesel-update-2026,institute-for-energy-economics-and-financial-analysis,author,institute-for-energy-economics-and-financial-analysis.name.1
vnm-rmp-2023-vi,government-of-viet-nam,author,government-of-viet-nam.name.1
vnm-rmp-2023-vi,international-partners-group,author,international-partners-group.name.1
vnm-decision-1009-2023,government-of-viet-nam,author,government-of-viet-nam.name.1
vnm-decision-458-2026,government-of-viet-nam,author,government-of-viet-nam.name.1
vnm-moit-newsletter-01-2025-03,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-02-2025-04,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-03-2025-05,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-04-2025-06,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-05-2025-07,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-06-2025-08,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-07-2025-09,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-08-2025-10,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-09-2025-11,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-10-2025-12,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-11-2026-01,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-12-2026-02,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-newsletter-13-2026-03,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-evn-decision-1929-news-2026,vietnam-electricity,author,vietnam-electricity.name.1
vnm-moit-project-index-2026,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-project-bac-ai,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-project-binh-duong-dong-nai,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-moit-project-tri-an,ministry-of-industry-and-trade,author,ministry-of-industry-and-trade.name.1
vnm-evn-afd-transmission-2025,vietnam-electricity,author,vietnam-electricity.name.1
vnm-evn-kfw-tri-an-2025,vietnam-electricity,author,vietnam-electricity.name.1
vnm-evn-cdp-bac-ai-2025,vietnam-electricity,author,vietnam-electricity.name.1
vnm-eib-bac-ai-package-2025,european-investment-bank,author,european-investment-bank.name.1
vnm-eeas-jetp-project-progress-2025,european-external-action-service,author,european-external-action-service.name.1
vnm-adb-vinfast-55327-001,asian-development-bank,author,asian-development-bank.name.1
vnm-adb-bess-58382-001,asian-development-bank,author,asian-development-bank.name.1
vnm-adb-vinfast-news-2022,asian-development-bank,author,asian-development-bank.name.1
vnm-bii-vpbank-2025,british-international-investment,author,british-international-investment.name.1
vnm-vpbank-sustainable-finance-2025,vietnam-prosperity-joint-stock-commercial-bank,author,vietnam-prosperity-joint-stock-commercial-bank.name.1
vnm-iati-bii-publisher,international-aid-transparency-initiative,author,international-aid-transparency-initiative.name.1
sen-political-declaration-fr-2023,european-commission,author,european-commission.name.1
sen-investment-plan-annexes-mirror,vie-publique-sn,host,vie-publique-sn.name.1
sen-mepm-portal-2026,ministry-of-energy-petroleum-and-mines,author,ministry-of-energy-petroleum-and-mines.name.1
sen-elysee-jetp-launch-2023,presidency-of-the-french-republic,author,presidency-of-the-french-republic.name.1
sen-bmz-jetp-factsheet,federal-ministry-for-economic-cooperation-and-development,author,federal-ministry-for-economic-cooperation-and-development.name.1
sen-uk-jetp-launch-2023,government-of-the-united-kingdom,author,government-of-the-united-kingdom.name.1
sen-eib-jetp-launch-2023,european-investment-bank,author,european-investment-bank.name.1
sen-afdb-plan-procurement-2023,african-development-bank,author,african-development-bank.name.1
sen-senelec-reports-index,senelec,author,senelec.name.1
sen-senelec-annual-report-2023,senelec,author,senelec.name.1
sen-senelec-annual-report-2024,senelec,author,senelec.name.1
sen-aeme-project-08,aeme,author,aeme.name.1
sen-aeme-project-09,aeme,author,aeme.name.1
sen-aeme-project-10,aeme,author,aeme.name.1
sen-aeme-project-11,aeme,author,aeme.name.1
sen-aeme-project-12,aeme,author,aeme.name.1
sen-aeme-project-13,aeme,author,aeme.name.1
sen-aeme-project-14,aeme,author,aeme.name.1
sen-aeme-report-2023,aeme,author,aeme.name.1
sen-aner-project-api,aner,author,aner.name.1
sen-aner-project-29,aner,author,aner.name.1
sen-aner-project-31,aner,author,aner.name.1
sen-aner-project-27,aner,author,aner.name.1
sen-aner-project-22,aner,author,aner.name.1
sen-aner-project-20,aner,author,aner.name.1
sen-senelec-procurement-2026,senelec,author,senelec.name.1
sen-afd-diass-storage,afd,author,afd.name.1
sen-senelec-thies-touba-par,senelec,author,senelec.name.1
sen-annex8-project-analysis,mepm,commissioner,mepm.name.1
sen-annex8-project-analysis,enercap,author,enercap.name.1
sen-offgrid-mini-grid-2025,off-grid-europe-off-grid-africa,author,off-grid-europe-off-grid-africa.name.1
sen-bmn-energy-programme,bmn,author,bmn.name.1
sen-pnb-programme,pnb-sn,author,pnb-sn.name.1
sen-cetud-biognv-2021,cetud,author,cetud.name.1
sen-aser-programmes,aser,author,aser.name.1
sen-mha-sambangalou,mha,author,mha.name.1
sen-vemar-fass-ngom,vemar,author,vemar.name.1
sen-senelec-saloum-tender-2026,senelec,author,senelec.name.1
sen-uasz-vev-thesis-2024,uasz-senelec-cfpp,author,uasz-senelec-cfpp.name.1
sen-semis-storage-study,semis,author,semis.name.1
sen-energy-compact-2025,government-of-senegal,author,government-of-senegal.name.1
sen-aner-magazine-2026,aner,author,aner.name.1
sen-diass-groundbreaking-2026,senelec,author,senelec.name.1
sen-ifc-biogas-609428,ifc,author,ifc.name.1
sen-ifc-cetud-ppp-2025,ifc,author,ifc.name.1
sen-swedfund-biofuels,swedfund,author,swedfund.name.1
sen-offgrid-muchcooler-eoi-2026,off-grid-europe,author,off-grid-europe.name.1
sen-offgrid-africool-mou-2025,off-grid-europe,author,off-grid-europe.name.1
sen-offgrid-muchcooler-product,off-grid-europe,author,off-grid-europe.name.1
sen-aser-www-retry,aser,author,aser.name.1
sen-gov-access-project-fiches,government-of-senegal,author,government-of-senegal.name.1
sen-pnb-biogas-model,pnb-sn,author,pnb-sn.name.1
sen-pnb-financing-partners,pnb-sn,author,pnb-sn.name.1
sen-aner-gandiaye-tender-2020,aner,author,aner.name.1
sen-afd-arescaleup-2025,afd,author,afd.name.1
sen-investment-plan-annex8-official,senegal-eiti-mepm-enercap,author,senegal-eiti-mepm-enercap.name.1
sen-irve-framework-tender-2026,mepm,author,mepm.name.1
sen-caa-aner-capacity-065,climate-action-africa,author,climate-action-africa.name.1
sen-mha-water-compact-2026,mha,author,mha.name.1
sen-omvg-portal-retry,omvg,author,omvg.name.1
sen-omvg-energy-portal,omvg,author,omvg.name.1
sen-kasofor-afd,afd,author,afd.name.1
sen-kasofor-fondem,fondation-energies-pour-le-monde,author,fondation-energies-pour-le-monde.name.1
sen-giz-ped2-2024,giz,author,giz.name.1
sen-artelia-thiestouba-gbif,artelia,author,artelia.name.1
sen-boad-ouarkhokh-esia,boad-send-senelec-huawei,author,boad-send-senelec-huawei.name.1
sen-mrv-350-villages,mrv-energie,author,mrv-energie.name.1
sen-senelec-huawei-mou-social,senelec,author,senelec.name.1
sen-rts-huawei-mou-2026,rts,author,rts.name.1
sen-energy-policy-2025-2029,mepm,author,mepm.name.1
sen-nrgi-jetp-feasibility-2026,nrgi,author,nrgi.name.1
sen-nrgi-territories-2026,nrgi,author,nrgi.name.1
sen-senego-mobilised-2026,senego,author,senego.name.1
sen-scout-puelec-commissioning-2025,senegal-mepm,author,senegal-mepm.name.1
