country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,33,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,34,Skills Research Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU007"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,35,Green Hydrogen Infrastructure Development,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU008"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,36,Skills Research Programme,register_row,A. Planned,named,"Overall - Data, Unique ID EU010"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,37,Technical Assistance Facility Support to South Africa's Just Energy Transition,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU011"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,38,Green Hydrogen Development Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU012"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,39,JT-Mpumalanga Solar Energy: MSME Green Energy Finance Support,register_row,A. Planned,named,"Overall - Data, Unique ID EU013"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,40,Electricity Technical Assistance Programme,register_row,D. Completed,named,"Overall - Data, Unique ID EU014"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,41,Green Hydrogen Development Programme,register_row,A. Planned,named,"Overall - Data, Unique ID EU015"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,42,Green Hydrogen Infrastructure Development,register_row,A. Planned,named,"Overall - Data, Unique ID EU016"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,43,"For audits for Skills, MSME and TA Facility",register_row,A. Planned,named,"Overall - Data, Unique ID EU017"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,44,Municipal Climate Resilience Programme,register_row,A. Planned,named,"Overall - Data, Unique ID EU018"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,45,IIPSA Grant - EIB- JETP,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU019"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,46,Support to Southern Africa's green hydrogen value chain — implemented by Climate Investor 3,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU020"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,47,PtX Blended Facility,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID EU021"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,48,Electricity Technical Assistance Programme,register_row,D. Completed,named,"Overall - Data, Unique ID FR001"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,49,Electricity Solar Energy Project,register_row,B. Approved,named,"Overall - Data, Unique ID FR002"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,50,Municipal Climate Resilience Programme: Steve Tshwete Diversification Support,register_row,D. Completed,named,"Overall - Data, Unique ID FR003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,51,Municipal Climate Resilience Programme: Steve Tshwete Community Explorer,register_row,D. Completed,named,"Overall - Data, Unique ID FR004"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,52,Mpumalanga Just Transition Programme: Participatory Energy Transition Co-design,register_row,D. Completed,named,"Overall - Data, Unique ID FR005"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,53,Municipal Climate Resilience Programme: Emalahleni Energy Poverty Study,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,54,Electricity Solar Energy Project,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR007"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,55,Mpumalanga Just Transition Programme: Steve Tshwete Social Policy Mapping,register_row,D. Completed,named,"Overall - Data, Unique ID FR009"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,56,Mpumalanga Just Transition Programme: Mining Ghost Town Revitalisation Study,register_row,D. Completed,named,"Overall - Data, Unique ID FR010"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,57,PCC Just Transition Partnering Implementation Model,register_row,D. Completed,named,"Overall - Data, Unique ID FR011"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,58,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR012"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,59,Skills Communication Initiative,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR013"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,60,Just Transition Support Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID FR014"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,61,Mpumalanga Just Transition Programme: Social Protection Financing Study,register_row,D. Completed,named,"Overall - Data, Unique ID FR015"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,62,Mpumalanga Just Transition Programme: Nkangala Skills Ecosystem Mapping,register_row,D. Completed,named,"Overall - Data, Unique ID FR016"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,63,Municipal Climate Resilience Programme,register_row,D. Completed,named,"Overall - Data, Unique ID FR017"
