country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-020,Geothermal Cibuni (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 20"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-021,Geothermal Wayang Windu,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 21"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-022,Geothermal Dieng (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 22"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-023,Geothermal Bedugul,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 23"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-024,Geothermal Buru (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 24"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-025,Geothermal Sokoria (FTP2),priority_project_row,priority,named,"Appendix 1, table 4, printed row 25"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-026,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 26"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-027,Geothermal Seram (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 27"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-028,Geothermal Lahendong Bottoming Unit #2 (10 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 28"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-029,Geothermal Lahendong #8 (20 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 29"
