crosswalk_row_id,publisher_id,own_status,axis,shared_status,recorded_at,decided_by,status,supersedes,notes
jet-project-management-unit.status.1,jet-project-management-unit,A. Planned,delivery,pipeline,2026-09-24,"migration 0887/0888, reviewed source fields",accepted,,"zaf-jet-investment-register-q1-2026, Status; IATI ActivityStatus mapping"
jet-project-management-unit.status.2,jet-project-management-unit,B. Approved,delivery,pipeline,2026-09-24,"migration 0887/0888, reviewed source fields",accepted,,"zaf-jet-investment-register-q1-2026, Status; IATI ActivityStatus mapping"
jet-project-management-unit.status.3,jet-project-management-unit,C. Implementation Phase,delivery,implementation,2026-09-24,"migration 0887/0888, reviewed source fields",accepted,,"zaf-jet-investment-register-q1-2026, Status; IATI ActivityStatus mapping"
jet-project-management-unit.status.4,jet-project-management-unit,D. Completed,delivery,finalisation,2026-09-24,"migration 0887/0888, reviewed source fields",accepted,,"zaf-jet-investment-register-q1-2026, Status; IATI ActivityStatus mapping"
jetp-indonesia-secretariat.status.1,jetp-indonesia-secretariat,Approved,money,approved,2026-09-24,"migration 0887/0888, reviewed source fields",accepted,,"idn-jetp-progress-report-2025, financing approval; not an M1a appendix field"
